סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2044 ,מלילות ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,483 ,50 ,127 ,158 ,49 ,27 ,72
2045 ,נחלה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,754 ,58 ,203 ,237 ,101 ,61 ,94
2046 ,סגולה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,609 ,27 ,152 ,180 ,103 ,56 ,91
2047 ,ניר משה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,560 ,39 ,104 ,178 ,74 ,56 ,109
2048 ,ניר עקיבא ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,740 ,55 ,199 ,257 ,100 ,50 ,79
2049 ,שדה צבי ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,768 ,58 ,217 ,252 ,123 ,41 ,77
2050 ,תלמי ביל"ו ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,531 ,49 ,128 ,180 ,48 ,38 ,88
2051 ,רווחה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,629 ,71 ,142 ,213 ,63 ,57 ,83
2052 ,אביטל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,604 ,34 ,134 ,203 ,81 ,53 ,99
2053 ,פרזון ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,436 ,34 ,99 ,142 ,37 ,56 ,68
2054 ,מיטב ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,540 ,51 ,106 ,189 ,62 ,61 ,71
2055 ,מאור ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1744 ,151 ,451 ,592 ,260 ,144 ,146
2057 ,שדי תרומות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,603 ,58 ,112 ,226 ,70 ,59 ,78
2059 ,פעמי תש"ז ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,646 ,77 ,145 ,228 ,68 ,50 ,78
2060 ,ברוש ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,564 ,42 ,159 ,184 ,88 ,36 ,55
