סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3759 ,אדורה ,77 ,חברון ,13 ,בית שמש ,78 ,הר חברון ,671 ,111 ,230 ,242 ,36 ,30 ,22
3760 ,אורנית ,73 ,טול כרם ,349 ,ראש העין ,0 , ,10178 ,567 ,2463 ,3314 ,1591 ,982 ,1261
3762 ,איתמר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1752 ,311 ,617 ,606 ,97 ,61 ,60
3763 ,גבע בנימין ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6572 ,735 ,1878 ,2465 ,700 ,378 ,416
3764 ,חגי ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,830 ,131 ,289 ,308 ,49 ,32 ,21
3765 ,עלי ,72 ,שכם ,48 ,אריאל ,73 ,מטה בנימין ,4864 ,833 ,1457 ,1831 ,354 ,188 ,201
3766 ,כרמי צור ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1124 ,105 ,393 ,430 ,106 ,54 ,36
3767 ,נחליאל ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1061 ,238 ,358 ,375 ,31 ,31 ,28
3768 ,פדואל ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2322 ,251 ,811 ,851 ,214 ,108 ,87
3769 ,הר אדר ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,4366 ,207 ,881 ,1410 ,667 ,566 ,635
3770 ,חשמונאים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2905 ,250 ,505 ,1125 ,224 ,327 ,474
3777 ,סנסנה ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,888 ,116 ,342 ,318 ,106 ,6 ,0
3779 ,כוכב יעקב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3737 ,502 ,955 ,1511 ,294 ,231 ,244
3780 ,ביתר עילית ,76 ,בית לחם ,11 ,ירושלים ,0 , ,75631 ,14097 ,27639 ,25968 ,4745 ,1789 ,1393
3781 ,קדר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1640 ,155 ,352 ,645 ,230 ,159 ,99
3782 ,רותם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,323 ,48 ,118 ,111 ,36 ,10 ,0
3784 ,שמעה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,671 ,94 ,198 ,245 ,48 ,45 ,41
3785 ,משכיות ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,411 ,80 ,193 ,119 ,17 ,2 ,0
3786 ,אובנת ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,318 ,50 ,130 ,115 ,23 ,0 ,0
3787 ,נעלה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2965 ,169 ,876 ,991 ,544 ,188 ,197
3788 ,טלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6274 ,888 ,2404 ,2173 ,514 ,239 ,56
3790 ,נופים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1645 ,260 ,531 ,574 ,118 ,74 ,88
3791 ,צופים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,3083 ,356 ,890 ,1113 ,343 ,186 ,195
3793 ,אבני חפץ ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,2746 ,398 ,784 ,1103 ,202 ,185 ,74
3794 ,בת עין ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2129 ,362 ,637 ,774 ,147 ,91 ,118
3795 ,רבבה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3436 ,461 ,1244 ,1247 ,330 ,119 ,35
3796 ,כפר האורנים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2363 ,71 ,460 ,899 ,378 ,422 ,133
3797 ,מודיעין עילית ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,93195 ,17138 ,37859 ,29557 ,5863 ,1488 ,1290
3815 ,תל ציון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,7674 ,1676 ,2739 ,2614 ,459 ,79 ,107
3822 ,רחלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1355 ,250 ,569 ,468 ,56 ,7 ,5
3823 ,גני מודיעין ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3685 ,429 ,1009 ,1486 ,308 ,210 ,243
3824 ,עמיחי ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,415 ,76 ,168 ,137 ,32 ,2 ,0
3825 ,מבואות יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,442 ,90 ,199 ,134 ,16 ,0 ,3
3826 ,שער שומרון ,73 ,טול כרם ,349 ,ראש העין ,0 , ,9110 ,675 ,2491 ,3211 ,1146 ,709 ,878
3861 ,עשהאל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,534 ,149 ,226 ,148 ,7 ,2 ,2
3862 ,גבעות הרואה ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין ,155 ,43 ,49 ,58 ,5 ,0 ,0
3864 ,בית חוגלה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,515 ,169 ,161 ,180 ,3 ,0 ,2
3868 ,שחרית ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,26 ,12 ,0 ,14 ,0 ,0 ,0
3869 ,אביגיל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,249 ,49 ,105 ,90 ,4 ,1 ,0
3870 ,חרשה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,65 ,10 ,39 ,11 ,4 ,1 ,0
3871 ,מגרון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,117 ,22 ,60 ,33 ,2 ,0 ,0
3872 ,שבות רחל ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,50 ,13 ,17 ,20 ,0 ,0 ,0
3873 ,טל מנשה ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,160 ,22 ,83 ,25 ,19 ,6 ,5
3874 ,עדי עד ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,47 ,16 ,16 ,15 ,0 ,0 ,0
3875 ,אחיה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,83 ,14 ,39 ,27 ,2 ,1 ,0
3876 ,נופי פרת ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,11 ,2 ,3 ,3 ,2 ,0 ,1
3877 ,נווה גדיד ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,5 ,2 ,1 ,2 ,0 ,0 ,0
3889 ,כרם רעים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,70 ,16 ,29 ,25 ,0 ,0 ,0
3890 ,נריה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,21 ,2 ,9 ,5 ,3 ,1 ,1
3891 ,איבי הנחל ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,43 ,16 ,5 ,20 ,2 ,0 ,0
3892 ,לשם ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,41 ,8 ,16 ,11 ,5 ,0 ,1
3895 ,קדם ערבה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,13 ,3 ,4 ,6 ,0 ,0 ,0
3898 ,אלון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6 ,4 ,0 ,2 ,0 ,0 ,0
3899 ,מצפה זיף ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,5 ,3 ,0 ,2 ,0 ,0 ,0
3987 ,אדוריים ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,117 ,44 ,35 ,36 ,2 ,0 ,0
4000 ,חיפה ,31 ,חיפה ,31 ,חיפה ,0 , ,343418 ,19841 ,51947 ,110991 ,42948 ,34023 ,83668
4001 ,בוקעאתא ,29 ,גולן ,21 ,צפת ,0 , ,7172 ,471 ,1436 ,2991 ,1029 ,583 ,662
4002 ,אלי-עד ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,627 ,56 ,171 ,223 ,69 ,29 ,79
4003 ,אל-רום ,29 ,גולן ,21 ,צפת ,71 ,גולן ,621 ,46 ,138 ,203 ,84 ,50 ,100
4004 ,כפר חרוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,633 ,48 ,120 ,241 ,58 ,65 ,101
4005 ,חספין ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1821 ,224 ,609 ,643 ,131 ,102 ,112
4006 ,קשת ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,991 ,126 ,373 ,318 ,67 ,25 ,82
4007 ,יונתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,949 ,125 ,311 ,321 ,94 ,45 ,53
4008 ,מעלה גמלא ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,694 ,65 ,201 ,203 ,93 ,37 ,95
4009 ,שעל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,461 ,49 ,131 ,150 ,40 ,26 ,65
4010 ,אודם ,29 ,גולן ,21 ,צפת ,71 ,גולן ,280 ,43 ,76 ,99 ,17 ,7 ,38
4011 ,אבני איתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1064 ,148 ,367 ,383 ,75 ,31 ,60
4012 ,אניעם ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,590 ,36 ,88 ,231 ,82 ,71 ,82
4013 ,אורטל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,401 ,22 ,104 ,142 ,52 ,47 ,34
4014 ,נטור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,723 ,65 ,252 ,266 ,95 ,31 ,14
4015 ,בני יהודה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1310 ,57 ,286 ,403 ,181 ,151 ,232
4017 ,אלוני הבשן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,573 ,64 ,212 ,207 ,38 ,32 ,20
4019 ,מיצר ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,372 ,54 ,126 ,139 ,31 ,18 ,4
4021 ,גבעת יואב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,809 ,52 ,205 ,238 ,137 ,52 ,125
4022 ,גשור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,442 ,36 ,118 ,148 ,52 ,46 ,42
4024 ,קלע ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,499 ,30 ,148 ,152 ,85 ,39 ,45
4025 ,קדמת צבי ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,815 ,102 ,207 ,298 ,76 ,48 ,84
4026 ,חד-נס ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,933 ,43 ,175 ,340 ,109 ,142 ,124
4028 ,כנף ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,547 ,48 ,98 ,229 ,72 ,71 ,29
4029 ,רמת הנשיא טראמפ ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,132 ,43 ,36 ,53 ,0 ,0 ,0
4035 ,נמרוד ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,23 ,2 ,1 ,9 ,2 ,7 ,2
4100 ,קצרין ,29 ,גולן ,22 ,טבריה ,0 , ,9567 ,639 ,1921 ,3111 ,1173 ,923 ,1800
4101 ,מרום גולן ,29 ,גולן ,21 ,צפת ,71 ,גולן ,870 ,53 ,169 ,298 ,118 ,102 ,130
4201 ,מג'דל שמס ,29 ,גולן ,21 ,צפת ,0 , ,12020 ,673 ,2274 ,4809 ,1916 ,1163 ,1185
4203 ,מסעדה ,29 ,גולן ,21 ,צפת ,0 , ,4346 ,282 ,959 ,1681 ,674 ,350 ,400
4204 ,מבוא חמה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,671 ,53 ,164 ,189 ,99 ,43 ,123
4301 ,אפיק ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,475 ,41 ,119 ,139 ,62 ,36 ,78
4303 ,נווה אטי"ב ,29 ,גולן ,21 ,צפת ,71 ,גולן ,249 ,15 ,53 ,84 ,33 ,14 ,50
4304 ,נוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1203 ,136 ,404 ,403 ,125 ,27 ,108
4501 ,ע'ג'ר ,29 ,גולן ,21 ,צפת ,0 , ,3004 ,290 ,699 ,1347 ,348 ,165 ,155
4502 ,עין קנייא ,29 ,גולן ,21 ,צפת ,0 , ,2601 ,209 ,562 ,1037 ,369 ,210 ,214
4503 ,עין זיוון ,29 ,גולן ,21 ,צפת ,71 ,גולן ,568 ,36 ,160 ,185 ,86 ,42 ,59
4551 ,נאות גולן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,802 ,49 ,208 ,268 ,125 ,56 ,96
4701 ,רמת מגשימים ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,895 ,91 ,284 ,292 ,83 ,53 ,92
4702 ,רמות ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,706 ,37 ,181 ,196 ,127 ,39 ,126
5000 ,תל אביב - יפו ,51 ,תל אביב ,51 ,ת"א - מרכז ,0 , ,599513 ,37638 ,77472 ,232410 ,75735 ,53248 ,123010
6000 ,באקה אל-גרביה ,32 ,חדרה ,32 ,חדרה ,0 , ,32958 ,2971 ,7521 ,13921 ,3684 ,2464 ,2397
6100 ,בני ברק ,52 ,רמת גן ,54 ,בני ברק ,0 , ,243605 ,43236 ,75665 ,80167 ,14423 ,10132 ,19982
6200 ,בת ים ,53 ,חולון ,53 ,חולון ,0 , ,160940 ,7325 ,20918 ,48137 ,21617 ,17834 ,45109
6300 ,גבעתיים ,52 ,רמת גן ,52 ,רמת גן ,0 , ,65888 ,4766 ,10080 ,23957 ,8472 ,5631 ,12982
6400 ,הרצליה ,51 ,תל אביב ,57 ,הרצליה ,0 , ,127657 ,8824 ,21391 ,40924 ,16611 ,11560 ,28347
6500 ,חדרה ,32 ,חדרה ,32 ,חדרה ,0 , ,115096 ,8629 ,21928 ,38292 ,13731 ,10572 ,21944
6600 ,חולון ,53 ,חולון ,53 ,חולון ,0 , ,211870 ,12681 ,36006 ,65359 ,28231 ,20796 ,48797
6700 ,טבריה ,22 ,כנרת ,22 ,טבריה ,0 , ,56946 ,6613 ,11953 ,19157 ,5554 ,4558 ,9111
6800 ,קרית אתא ,31 ,חיפה ,27 ,קריות ,0 , ,67696 ,5077 ,12300 ,22301 ,7812 ,6343 ,13863
6900 ,כפר סבא ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,111985 ,6345 ,21034 ,32667 ,16371 ,9734 ,25834
7000 ,לוד ,43 ,רמלה ,43 ,רמלה ,0 , ,100881 ,12836 ,23333 ,35183 ,9379 ,6949 ,13201
7100 ,אשקלון ,61 ,אשקלון ,61 ,אשקלון ,0 , ,188173 ,15151 ,35733 ,65007 ,21172 ,16511 ,34599
7200 ,נס ציונה ,44 ,רחובות ,44 ,רחובות ,0 , ,49755 ,2703 ,10976 ,15273 ,8060 ,4471 ,8272
7300 ,נצרת ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,82089 ,6175 ,15732 ,32725 ,9747 ,7755 ,9955
7400 ,נתניה ,41 ,השרון ,41 ,נתניה ,0 , ,288325 ,19896 ,51816 ,90655 ,35425 ,26787 ,63746
7500 ,סח'נין ,24 ,עכו ,24 ,עכו ,0 , ,36084 ,3057 ,8192 ,15114 ,4292 ,2901 ,2528
7600 ,עכו ,24 ,עכו ,24 ,עכו ,0 , ,60499 ,4017 ,10876 ,21505 ,7063 ,5794 ,11244
7700 ,עפולה ,23 ,עפולה ,23 ,עפולה ,0 , ,72696 ,8019 ,14678 ,24708 ,7295 ,5696 ,12300
7800 ,פרדס חנה-כרכור ,32 ,חדרה ,32 ,חדרה ,0 , ,51086 ,3812 ,11682 ,16465 ,7152 ,4387 ,7588
7900 ,פתח תקווה ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,283659 ,20122 ,56507 ,90672 ,37786 ,24875 ,53697
8000 ,צפת ,21 ,צפת ,21 ,צפת ,0 , ,41892 ,5552 ,11239 ,14203 ,3151 ,2608 ,5139
8200 ,קרית מוצקין ,31 ,חיפה ,27 ,קריות ,0 , ,56489 ,3502 ,9521 ,17888 ,7147 ,5005 ,13426
8300 ,ראשון לציון ,44 ,רחובות ,46 ,ראשון לציון ,0 , ,288803 ,18573 ,46878 ,96594 ,37508 ,28091 ,61159
8400 ,רחובות ,44 ,רחובות ,44 ,רחובות ,0 , ,166974 ,13504 ,35843 ,53598 ,21168 ,12898 ,29963
8500 ,רמלה ,43 ,רמלה ,43 ,רמלה ,0 , ,89173 ,8196 ,18853 ,31616 ,9836 ,7290 ,13382
8600 ,רמת גן ,52 ,רמת גן ,52 ,רמת גן ,0 , ,190677 ,13295 ,26855 ,70107 ,23326 ,17699 ,39395
8700 ,רעננה ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,101084 ,6870 ,18470 ,31346 ,13154 ,9700 ,21544
8800 ,שפרעם ,24 ,עכו ,25 ,נוף הגליל ,0 , ,44910 ,3375 ,8797 ,18719 ,5377 ,4298 ,4344
8900 ,טמרה ,24 ,עכו ,24 ,עכו ,0 , ,37989 ,3407 ,8156 ,16042 ,4431 ,3060 ,2893
9000 ,באר שבע ,62 ,באר שבע ,62 ,באר שבע ,0 , ,233401 ,17404 ,41578 ,80840 ,26171 ,21132 ,46276
9100 ,נהריה ,24 ,עכו ,24 ,עכו ,0 , ,79541 ,4762 ,13294 ,25665 ,10705 ,8193 ,16922
9200 ,בית שאן ,23 ,עפולה ,23 ,עפולה ,0 , ,21822 ,2093 ,4409 ,7893 ,2284 ,1931 ,3212
9300 ,זכרון יעקב ,32 ,חדרה ,32 ,חדרה ,0 , ,27268 ,1854 ,5748 ,8581 ,3646 ,2996 ,4443
9400 ,יהוד-מונוסון ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,33432 ,2220 ,6332 ,10527 ,4484 ,3266 ,6603
9500 ,קרית ביאליק ,31 ,חיפה ,27 ,קריות ,0 , ,52129 ,3702 ,8937 ,17030 ,6490 ,4476 ,11494
9600 ,קרית ים ,31 ,חיפה ,27 ,קריות ,0 , ,50032 ,2555 ,7021 ,15015 ,6445 ,5197 ,13799
9700 ,הוד השרון ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,71692 ,4843 ,14847 ,22225 ,10450 ,6906 ,12421
9800 ,בנימינה-גבעת עדה ,32 ,חדרה ,32 ,חדרה ,0 , ,17253 ,1059 ,4170 ,5654 ,2684 ,1685 ,2001
